numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20220212120000;102580;-240;8;160;6.400000;279.250000;272.050000;60;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;101680;mq;mq;-900;mq;mq;mq;mq;272.450000;mq;mq;11.800000;12.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.200000;0.200000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20220212120000;102670;-200;8;170;8.600000;279.750000;272.750000;61;12330;0;mq;mq;mq;0;mq;mq;mq;mq;102080;mq;mq;-770;mq;mq;mq;mq;272.850000;mq;mq;14.100000;14.100000;-10;0;0.000000;mq;mq;0.000000;0.200000;0.200000;0.200000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07020;20220212120000;102320;-190;8;200;10.000000;280.350000;274.850000;68;18000;1;2;mq;60;0;5500;30;20;14;102210;mq;mq;-1130;mq;mq;mq;mq;mq;mq;mq;13.600000;14.100000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;5;0;5500;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20220212120000;102450;-240;8;160;4.300000;280.550000;273.950000;63;16810;0;mq;mq;mq;0;mq;mq;mq;mq;101620;mq;mq;-1020;mq;mq;mq;mq;274.650000;mq;mq;5.900000;6.900000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07037;20220212120000;102550;-180;8;160;5.600000;278.650000;271.950000;62;15650;0;mq;mq;mq;0;mq;mq;mq;mq;100670;mq;mq;-870;mq;mq;mq;mq;272.350000;mq;mq;9.200000;9.600000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07072;20220212120000;102810;-240;8;150;4.600000;278.650000;273.650000;70;19440;0;mq;mq;mq;0;mq;mq;mq;mq;101620;mq;mq;-650;mq;mq;mq;mq;268.150000;mq;mq;6.500000;7.500000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07110;20220212120000;102340;-130;8;200;5.800000;281.050000;277.450000;78;38720;0;mq;mq;100;8;800;mq;mq;mq;101130;mq;mq;-1160;mq;mq;mq;mq;270.250000;mq;mq;7.900000;9.500000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;930;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07117;20220212120000;102310;-180;8;200;4.900000;281.850000;276.450000;69;20000;2;2;mq;75;4;800;34;26;10;101600;mq;mq;-1160;mq;mq;mq;mq;mq;mq;mq;8.200000;8.400000;-10;1;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;4;6;800;2;3;2500;mq;mq;mq;mq;mq;mq;
07130;20220212120000;102530;-130;8;180;3.400000;279.450000;273.350000;65;37390;0;mq;mq;mq;1;7500;mq;mq;mq;102070;mq;mq;-970;mq;mq;mq;mq;272.950000;mq;mq;5.500000;6.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;mq;7500;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07139;20220212120000;102630;-130;8;180;2.800000;279.150000;271.750000;59;20000;0;mq;mq;mq;0;mq;mq;mq;mq;100830;mq;mq;-870;mq;mq;mq;mq;276.750000;mq;mq;4.500000;4.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07149;20220212120000;102710;-240;8;140;3.200000;280.650000;270.650000;49;25000;2;0;0;25;0;8000;30;20;11;101590;mq;mq;-800;mq;mq;mq;mq;mq;mq;mq;5.600000;6.500000;-10;0;0.000000;0.000000;-60;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;0;8000;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07168;20220212120000;102810;-220;8;130;4.100000;278.450000;271.750000;62;19970;0;mq;mq;mq;0;mq;mq;mq;mq;101340;mq;mq;-670;mq;mq;mq;mq;267.250000;mq;mq;7.100000;7.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07181;20220212120000;102860;-160;8;140;2.200000;277.950000;269.950000;56;19440;0;mq;mq;mq;0;mq;mq;mq;mq;98560;mq;mq;-530;mq;mq;mq;mq;265.550000;mq;mq;4.200000;5.500000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07190;20220212120000;102940;-210;8;210;1.700000;279.650000;271.250000;55;21970;0;mq;mq;mq;0;mq;mq;mq;mq;101070;mq;mq;-440;mq;mq;mq;mq;268.250000;mq;mq;3.300000;3.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07207;20220212120000;102510;-140;6;210;5.100000;281.250000;275.250000;66;20000;2;2;mq;75;6;1250;35;mq;mq;101980;mq;mq;-990;mq;mq;mq;mq;mq;mq;mq;8.700000;8.700000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;6;6;1000;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07222;20220212120000;102520;-100;8;190;1.600000;280.550000;273.050000;59;13690;0;mq;mq;mq;0;mq;mq;mq;mq;102200;mq;mq;-920;mq;mq;mq;mq;274.450000;mq;mq;3.200000;3.900000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07240;20220212120000;102600;-110;8;150;4.100000;280.450000;271.450000;53;27140;0;mq;mq;mq;0;mq;mq;mq;mq;101220;mq;mq;-900;mq;mq;mq;mq;276.650000;mq;mq;6.400000;8.000000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07255;20220212120000;102660;-220;7;120;5.500000;277.950000;272.350000;67;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;100600;mq;mq;-830;mq;mq;mq;mq;269.850000;mq;mq;7.700000;8.000000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07280;20220212120000;102880;-100;8;140;2.400000;276.650000;271.050000;67;24460;0;mq;mq;90;7;6120;mq;mq;mq;100140;mq;mq;-520;mq;mq;mq;mq;271.250000;mq;mq;4.300000;4.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;7;mq;6120;7;mq;6840;mq;mq;mq;mq;mq;mq;
07299;20220212120000;102900;-200;8;130;4.500000;279.550000;267.850000;43;35000;3;2;2;75;0;mq;30;20;15;99540;mq;mq;-390;mq;mq;mq;mq;269.850000;mq;mq;10.700000;10.700000;-10;0;0.000000;0.000000;-60;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;6;0;8000;mq;mq;mq;mq;mq;mq;mq;mq;mq;
