numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07761;20220214000000;102150;-100;8;50;2.800000;280.950000;278.250000;83;35800;0;mq;mq;75;3;1250;mq;mq;mq;102040;mq;mq;-470;mq;mq;mq;mq;279.350000;mq;mq;4.100000;4.900000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;3;mq;1050;6;mq;3420;mq;mq;mq;mq;mq;mq;
07790;20220214000000;102130;-110;8;200;1.700000;280.850000;278.850000;87;40510;0;mq;mq;100;8;3240;mq;mq;mq;101980;mq;mq;-560;mq;mq;mq;mq;278.050000;mq;mq;2.800000;4.800000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.200000;0.600000;0.600000;mq;mq;mq;mq;8;mq;3240;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61968;20220214000000;100690;180;6;0;0.000000;296.450000;295.450000;94;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100640;mq;mq;-120;mq;296.450000;mq;301.750000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;9.900000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61972;20220214000000;100720;100;6;140;2.600000;300.050000;297.550000;86;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100650;mq;mq;-80;mq;300.050000;mq;305.750000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61976;20220214000000;100530;170;6;mq;mq;300.550000;297.450000;83;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100440;mq;mq;-220;mq;299.250000;mq;304.650000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.200000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61980;20220214000000;100880;-110;5;120;5.000000;298.950000;293.550000;72;60000;0;mq;mq;mq;0;mq;mq;mq;mq;100730;mq;mq;-20;mq;mq;mq;mq;mq;mq;mq;7.500000;11.000000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;5.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61996;20220214000000;101740;80;3;290;7.600000;291.350000;290.850000;97;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101400;mq;mq;290;mq;290.850000;mq;293.850000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.200000;0.200000;4.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61997;20220214000000;99720;80;3;220;4.800000;277.750000;275.250000;84;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;97950;mq;mq;150;mq;277.650000;mq;283.150000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61998;20220214000000;99190;90;1;290;12.300000;278.050000;271.550000;63;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;98830;mq;mq;1460;mq;mq;mq;mq;mq;mq;mq;mq;19.500000;-10;mq;mq;mq;mq;0.000000;mq;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
67005;20220214000000;100700;-180;6;360;1.300000;298.050000;297.050000;94;20000;0;mq;mq;mq;0;mq;mq;mq;mq;100620;mq;mq;-120;mq;mq;mq;mq;mq;mq;mq;2.000000;2.300000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.200000;9.600000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
71805;20220214000000;101800;-80;8;320;3.800000;271.450000;267.450000;74;19730;0;mq;mq;mq;4;3840;mq;mq;mq;101710;mq;mq;340;mq;mq;mq;mq;272.250000;mq;mq;7.000000;9.000000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;4;mq;3840;4;mq;5280;mq;mq;mq;mq;mq;mq;
78890;20220214000000;101560;140;1;70;10.200000;297.050000;291.650000;72;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101240;mq;mq;-80;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
78894;20220214000000;101700;130;3;90;3.300000;297.150000;293.850000;82;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101180;mq;mq;-90;mq;295.250000;mq;301.750000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.400000;2.200000;2.400000;2.600000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
78925;20220214000000;101490;130;3;90;4.400000;298.550000;293.550000;74;47110;0;mq;mq;75;3;800;mq;mq;mq;101400;mq;mq;-80;302.750000;mq;302.750000;mq;mq;mq;mq;6.700000;9.100000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;-0.100000;0.400000;mq;mq;mq;mq;3;mq;870;3;mq;1200;6;mq;2580;mq;mq;mq;
81401;20220214000000;mq;190;1;40;0.600000;297.450000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101000;mq;mq;-60;mq;296.150000;mq;304.450000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
81405;20220214000000;101090;190;1;0;0.000000;297.450000;296.550000;95;42570;0;mq;mq;100;8;1750;mq;mq;mq;101000;mq;mq;-50;303.150000;mq;303.150000;mq;299.550000;mq;mq;0.000000;1.400000;-10;mq;mq;mq;mq;0.000000;0.200000;4.100000;4.700000;11.600000;mq;mq;mq;mq;1;mq;1620;5;mq;5520;8;mq;6300;mq;mq;mq;
81408;20220214000000;101050;180;1;320;1.000000;297.950000;297.450000;97;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100970;mq;mq;-30;mq;296.950000;mq;302.950000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.200000;0.200000;3.400000;9.600000;15.600000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
81415;20220214000000;101170;230;1;320;1.100000;296.550000;296.250000;98;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;99950;mq;mq;-10;mq;296.250000;mq;302.950000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;4.400000;15.600000;28.600000;36.200000;37.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
89642;20220214000000;96730;190;3;140;23.100000;270.650000;267.950000;80;2500;71;7;3;100;8;1250;35;61;60;96210;mq;mq;mq;270.250000;mq;272.150000;mq;mq;mq;mq;35.500000;40.100000;-60;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;8;6;990;mq;mq;mq;mq;mq;mq;mq;mq;mq;
